age,area,district,floor,location,mode,price
2006,92,顺义,中层(共6层),西辛北区,3室1厅1卫,37796
1999,125,朝阳,高层(共7层),慧忠北里,4室2厅2卫,50219
2010,190,朝阳,共4层,青青家园,4室3厅3卫,44736
1996,88,延庆,中层(共6层),双路小区,3室2厅1卫,20454
2006,91,丰台,低层(共22层),三环新城7号院,2室1厅1卫,57142
2012,176,海淀,中层(共25层),橡树湾三期,3室2厅2卫,90909
2003,114,昌平,高层(共23层),新新公寓,2室1厅2卫,41140
2011,313,顺义,地下(共3层),中粮祥云,6室3厅6卫,67092
2017,110,通州,中层(共27层),合景中心,3室2厅1卫,65000
2007,39,西城,高层(共16层),荣丰2008,2室1厅2卫,148717
2004,125,东城,低层(共12层),新裕家园,3室1厅2卫,106772
1983,56,房山,共5层,迎风一里,2室1厅1卫,18750
2012,85,昌平,中层(共28层),金隅观澜时代,2室1厅1卫,42352
2004,64,朝阳,低层(共11层),柏林爱乐(一期),1室1厅1卫,57320
2010,66,朝阳,中层(共22层),首城国际中心,1室1厅1卫,89901
2006,89,顺义,中层(共6层),顺鑫澜庭,2室1厅1卫,29213
2013,64,海淀,中层(共28层),八家嘉苑,1室2厅1卫,57812
1995,65,海淀,中层(共6层),小南庄,2室1厅1卫,87985
2008,95,密云,中层(共15层),柏林山水,2室2厅1卫,23157
2014,96,大兴,高层(共8层),北京城建海梓府,3室3厅2卫,55208
1998,101,平谷,高层(共6层),承平园,3室1厅1卫,21782
2004,108,朝阳,低层(共12层),万象新天家园,2室1厅1卫,57053
2004,340,昌平,共4层,威尼斯花园,4室2厅3卫,35941
2006,107,朝阳,中层(共10层),优点社区,3室1厅1卫,52078
2007,99,海淀,低层(共22层),清景园,2室1厅1卫,62236
2015,92,北京周边,中层(共29层),乾城华府,3室2厅1卫,14456
2008,134,朝阳,高层(共25层),苹果社区(北区),2室1厅1卫,59701
2003,80,西城,低层(共18层),清芷园,2室1厅1卫,106969
2003,141,海淀,低层(共13层),碧水云天颐园(东区),3室2厅2卫,137585
2008,378,朝阳,高层(共11层),九号公寓,4室2厅2卫,71349
2013,85,房山,低层(共15层),北京城建琨廷,2室2厅1卫,27771
2005,93,丰台,高层(共28层),丰体时代,2室1厅1卫,51474
2009,836,昌平,地下(共2层),东方普罗旺斯(北京壹号庄园),6室3厅4卫,50239
2000,1424,朝阳,共2层,财富公馆,5室3厅4卫,56138
2011,85,昌平,低层(共28层),金隅万科城,2室1厅1卫,40000
1992,63,房山,高层(共6层),万宁小区,2室1厅1卫,24490
2000,93,密云,共5层,赏云轩嘉园,2室2厅1卫,27879
2000,1054,顺义,共3层,丽宫别墅,5室3厅6卫,71113
2015,56,朝阳,高层(共28层),周庄嘉园7号院,1室1厅1卫,41964
2002,147,西城,中层(共19层),阳光丽景,4室1厅2卫,158680
2003,116,东城,高层(共30层),万国城MOMA,2室2厅2卫,120689
2015,51,北京周边,高层(共26层),燕达首尔国际村,1室1厅1卫,13333
2013,292,东城,高层(共6层),励骏华庭,4室2厅5卫,126047
2013,119,门头沟,中层(共24层),梧桐苑知秋园,3室2厅2卫,46288
1999,123,西城,中层(共25层),富明公寓,3室1厅2卫,88852
2001,74,西城,中层(共12层),丰汇园小区,3室1厅1卫,190000
2011,238,海淀,中层(共6层),西山壹号院南区,3室3厅2卫,111302
2002,186,朝阳,中层(共11层),和乔丽晶,3室2厅2卫,76344
2015,88,北京周边,中层(共28层),福泰花园(西区),3室2厅1卫,14772
2017,78,北京周边,高层(共24层),荣盛阿尔卡迪亚霸州温泉城,2室2厅1卫,8846
2005,324,朝阳,共3层,长岛澜桥,4室3厅5卫,70987
1996,59,丰台,高层(共14层),芳群园三区,2室1厅1卫,66387
2007,190,昌平,共3层,汤HOUSE,4室2厅3卫,29473
2004,110,海淀,低层(共24层),博望园,3室1厅1卫,84942
2014,105,大兴,中层(共26层),珺悦国际,2室1厅2卫,23809
2000,72,石景山,高层(共7层),八角北路11号院,2室1厅1卫,56388
2015,101,大兴,低层(共12层),华润公元九里,2室1厅1卫,60396
1996,88,延庆,中层(共6层),双路小区,3室2厅1卫,20454
2008,69,西城,中层(共19层),第三区,2室1厅1卫,52677
2006,91,丰台,低层(共22层),三环新城7号院,2室1厅1卫,57142
